candidate_source,candidate_id,n,member_individual_flag_rate,score,candidate,evidence
DBSCAN dense-cluster IsolationForest,DBSCAN C16,37,0.05405405405405406,0.0053751005430903165,True,"Dominant KMeans=C4, purity=1.00. dense unusual pocket aligned with one K-Means segment; likely rare legitimate subsegment"
KMeans structural cluster,KMeans C3,4529,0.08699492161625083,4.0,True,Manufactured-housing applicants; evidence 4/4; spurious-screen=False. stable rare/isolated collective segment — likely legitimate unless domain triage says otherwise
KMeans structural cluster,KMeans C1,7036,0.22171688459351904,4.0,True,Property investors; evidence 4/4; spurious-screen=False. stable rare/isolated collective segment — likely legitimate unless domain triage says otherwise
Business-group IsolationForest,state_x_product: DC | Conventional,150,0.4,0.16895271395173117,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: Unknown | Home_Purchase,1090,0.9908256880733946,0.166721553839143,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_product: Unknown | VA,50,0.98,0.15611498458380435,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: DC | Home_Purchase,86,0.32558139534883723,0.15262595923591038,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_product: Unknown | FHA,176,1.0,0.14802061780858333,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_product: CA | Conventional,8195,0.2745576571079927,0.1060253032491465,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_product: Unknown | Conventional,896,0.9765625,0.09745056803346697,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: CA | Home_Improvement,1025,0.304390243902439,0.08878065913067168,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_product: PR | Conventional,83,0.30120481927710846,0.08246452604098353,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: CA | Other,822,0.3126520681265207,0.07486257873548174,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: CA | Refinance,1396,0.2722063037249284,0.034144359232633925,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
Business-group IsolationForest,state_x_purpose: MA | Refinance,298,0.27181208053691275,0.001989852023947969,False,Aggregate business-context profile is unusual under group-level Isolation Forest.
DBSCAN dense-cluster IsolationForest,DBSCAN C7,48,0.4583333333333333,0.07822637570989699,False,"Dominant KMeans=C3, purity=1.00. group-level unusual, but many members are already individual anomalies"
DBSCAN dense-cluster IsolationForest,DBSCAN C9,44,1.0,0.07767448302202007,False,"Dominant KMeans=C4, purity=1.00. group-level unusual, but many members are already individual anomalies"
